instituicao,uf,exercicio,coluna,conta,periodo,periodicidade,valor,cores,mr,mr_mes,mes,mes_ano,final_mes,mes_ano_end
Governo do Distrito Federal,DF,2015,<MR-1>,ICMS,6,B,591473217.98,rcl,12,-1,11,2015-11-01,2015-11-02,2015-11-30
Governo do Distrito Federal,DF,2015,<MR-10>,ICMS,6,B,528013816.82,rcl,12,-10,2,2015-02-01,2015-02-02,2015-02-28
Governo do Distrito Federal,DF,2015,<MR-11>,ICMS,6,B,573834643.52,rcl,12,-11,1,2015-01-01,2015-01-02,2015-01-31
Governo do Distrito Federal,DF,2015,<MR-2>,ICMS,6,B,558783728.67,rcl,12,-2,10,2015-10-01,2015-10-02,2015-10-31
Governo do Distrito Federal,DF,2015,<MR-3>,ICMS,6,B,547118111.65,rcl,12,-3,9,2015-09-01,2015-09-02,2015-09-30
Governo do Distrito Federal,DF,2015,<MR-4>,ICMS,6,B,548058545.7,rcl,12,-4,8,2015-08-01,2015-08-02,2015-08-31
Governo do Distrito Federal,DF,2015,<MR-5>,ICMS,6,B,508641571.98,rcl,12,-5,7,2015-07-01,2015-07-02,2015-07-31
Governo do Distrito Federal,DF,2015,<MR-6>,ICMS,6,B,584339183.64,rcl,12,-6,6,2015-06-01,2015-06-02,2015-06-30
Governo do Distrito Federal,DF,2015,<MR-7>,ICMS,6,B,524976668.14,rcl,12,-7,5,2015-05-01,2015-05-02,2015-05-31
Governo do Distrito Federal,DF,2015,<MR-8>,ICMS,6,B,539085475.88,rcl,12,-8,4,2015-04-01,2015-04-02,2015-04-30
Governo do Distrito Federal,DF,2015,<MR-9>,ICMS,6,B,456494252.5,rcl,12,-9,3,2015-03-01,2015-03-02,2015-03-31
Governo do Distrito Federal,DF,2015,<MR>,ICMS,6,B,520642998.1,rcl,12,,12,2015-12-01,2015-12-02,2015-12-31
Governo do Distrito Federal,DF,2016,<MR-1>,ICMS,6,B,622974810.57,rcl,12,-1,11,2016-11-01,2016-11-02,2016-11-30
Governo do Distrito Federal,DF,2016,<MR-10>,ICMS,6,B,572181981.57,rcl,12,-10,2,2016-02-01,2016-02-02,2016-02-29
Governo do Distrito Federal,DF,2016,<MR-11>,ICMS,6,B,616050477.59,rcl,12,-11,1,2016-01-01,2016-01-02,2016-01-31
Governo do Distrito Federal,DF,2016,<MR-2>,ICMS,6,B,651652676.74,rcl,12,-2,10,2016-10-01,2016-10-02,2016-10-31
Governo do Distrito Federal,DF,2016,<MR-3>,ICMS,6,B,606811770.42,rcl,12,-3,9,2016-09-01,2016-09-02,2016-09-30
Governo do Distrito Federal,DF,2016,<MR-4>,ICMS,6,B,600686106.8,rcl,12,-4,8,2016-08-01,2016-08-02,2016-08-31
Governo do Distrito Federal,DF,2016,<MR-5>,ICMS,6,B,624813631.72,rcl,12,-5,7,2016-07-01,2016-07-02,2016-07-31
Governo do Distrito Federal,DF,2016,<MR-6>,ICMS,6,B,631164732.25,rcl,12,-6,6,2016-06-01,2016-06-02,2016-06-30
Governo do Distrito Federal,DF,2016,<MR-7>,ICMS,6,B,623599785,rcl,12,-7,5,2016-05-01,2016-05-02,2016-05-31
Governo do Distrito Federal,DF,2016,<MR-8>,ICMS,6,B,602364762.52,rcl,12,-8,4,2016-04-01,2016-04-02,2016-04-30
Governo do Distrito Federal,DF,2016,<MR-9>,ICMS,6,B,588814578.6,rcl,12,-9,3,2016-03-01,2016-03-02,2016-03-31
Governo do Distrito Federal,DF,2016,<MR>,ICMS,6,B,634437166.57,rcl,12,,12,2016-12-01,2016-12-02,2016-12-31
Governo do Distrito Federal,DF,2017,<MR-1>,ICMS,6,B,652906750.41,rcl,12,-1,11,2017-11-01,2017-11-02,2017-11-30
Governo do Distrito Federal,DF,2017,<MR-10>,ICMS,6,B,581109270.55,rcl,12,-10,2,2017-02-01,2017-02-02,2017-02-28
Governo do Distrito Federal,DF,2017,<MR-11>,ICMS,6,B,660967741.39,rcl,12,-11,1,2017-01-01,2017-01-02,2017-01-31
Governo do Distrito Federal,DF,2017,<MR-2>,ICMS,6,B,636366243.96,rcl,12,-2,10,2017-10-01,2017-10-02,2017-10-31
Governo do Distrito Federal,DF,2017,<MR-3>,ICMS,6,B,646232824.36,rcl,12,-3,9,2017-09-01,2017-09-02,2017-09-30
Governo do Distrito Federal,DF,2017,<MR-4>,ICMS,6,B,619989131.81,rcl,12,-4,8,2017-08-01,2017-08-02,2017-08-31
Governo do Distrito Federal,DF,2017,<MR-5>,ICMS,6,B,630671613.3,rcl,12,-5,7,2017-07-01,2017-07-02,2017-07-31
Governo do Distrito Federal,DF,2017,<MR-6>,ICMS,6,B,630943691.05,rcl,12,-6,6,2017-06-01,2017-06-02,2017-06-30
Governo do Distrito Federal,DF,2017,<MR-7>,ICMS,6,B,599062381.55,rcl,12,-7,5,2017-05-01,2017-05-02,2017-05-31
Governo do Distrito Federal,DF,2017,<MR-8>,ICMS,6,B,620696042.44,rcl,12,-8,4,2017-04-01,2017-04-02,2017-04-30
Governo do Distrito Federal,DF,2017,<MR-9>,ICMS,6,B,586924234.33,rcl,12,-9,3,2017-03-01,2017-03-02,2017-03-31
Governo do Distrito Federal,DF,2017,<MR>,ICMS,6,B,691848702.08,rcl,12,,12,2017-12-01,2017-12-02,2017-12-31
Governo do Distrito Federal,DF,2018,<MR-1>,ICMS,6,B,708996947.67,rcl,12,-1,11,2018-11-01,2018-11-02,2018-11-30
Governo do Distrito Federal,DF,2018,<MR-10>,ICMS,6,B,636592782.6,rcl,12,-10,2,2018-02-01,2018-02-02,2018-02-28
Governo do Distrito Federal,DF,2018,<MR-11>,ICMS,6,B,702087496.39,rcl,12,-11,1,2018-01-01,2018-01-02,2018-01-31
Governo do Distrito Federal,DF,2018,<MR-2>,ICMS,6,B,666404733.41,rcl,12,-2,10,2018-10-01,2018-10-02,2018-10-31
Governo do Distrito Federal,DF,2018,<MR-3>,ICMS,6,B,699411913.33,rcl,12,-3,9,2018-09-01,2018-09-02,2018-09-30
Governo do Distrito Federal,DF,2018,<MR-4>,ICMS,6,B,666749421,rcl,12,-4,8,2018-08-01,2018-08-02,2018-08-31
Governo do Distrito Federal,DF,2018,<MR-5>,ICMS,6,B,693075565.93,rcl,12,-5,7,2018-07-01,2018-07-02,2018-07-31
Governo do Distrito Federal,DF,2018,<MR-6>,ICMS,6,B,635033777.96,rcl,12,-6,6,2018-06-01,2018-06-02,2018-06-30
Governo do Distrito Federal,DF,2018,<MR-7>,ICMS,6,B,605017291.65,rcl,12,-7,5,2018-05-01,2018-05-02,2018-05-31
